beta,lr,seed,error_u_relative,error_u_abs,error_u_linf,checkpoint_file
1.0,1.0,1,0.008966,0.00498,0.015296,PINN_convection_beta_1.0_lr_1.0_seed_001.pt
1.0,1.0,2,0.005973,0.00348,0.015633,PINN_convection_beta_1.0_lr_1.0_seed_002.pt
1.0,1.0,3,0.015139,0.008653,0.030874,PINN_convection_beta_1.0_lr_1.0_seed_003.pt
1.0,1.0,4,0.010917,0.006271,0.021492,PINN_convection_beta_1.0_lr_1.0_seed_004.pt
1.0,1.0,5,0.00753,0.00448,0.012255,PINN_convection_beta_1.0_lr_1.0_seed_005.pt
1.0,1.0,6,0.016874,0.010662,0.020908,PINN_convection_beta_1.0_lr_1.0_seed_006.pt
1.0,1.0,7,0.013179,0.007904,0.021681,PINN_convection_beta_1.0_lr_1.0_seed_007.pt
1.0,1.0,8,0.018582,0.011355,0.037028,PINN_convection_beta_1.0_lr_1.0_seed_008.pt
1.0,1.0,9,0.009273,0.005671,0.014143,PINN_convection_beta_1.0_lr_1.0_seed_009.pt
1.0,1.0,10,0.005124,0.002963,0.010071,PINN_convection_beta_1.0_lr_1.0_seed_010.pt
1.0,1.0,11,0.004446,0.002522,0.009876,PINN_convection_beta_1.0_lr_1.0_seed_011.pt
1.0,1.0,12,0.005463,0.003095,0.011958,PINN_convection_beta_1.0_lr_1.0_seed_012.pt
1.0,1.0,13,0.010294,0.00572,0.020167,PINN_convection_beta_1.0_lr_1.0_seed_013.pt
1.0,1.0,14,0.010643,0.006003,0.019999,PINN_convection_beta_1.0_lr_1.0_seed_014.pt
1.0,1.0,15,0.01513,0.008968,0.030512,PINN_convection_beta_1.0_lr_1.0_seed_015.pt
1.0,1.0,16,0.012244,0.007416,0.021018,PINN_convection_beta_1.0_lr_1.0_seed_016.pt
1.0,1.0,17,0.008285,0.004667,0.013414,PINN_convection_beta_1.0_lr_1.0_seed_017.pt
1.0,1.0,18,0.006558,0.003593,0.014772,PINN_convection_beta_1.0_lr_1.0_seed_018.pt
1.0,1.0,19,0.00643,0.003887,0.010393,PINN_convection_beta_1.0_lr_1.0_seed_019.pt
1.0,1.0,20,0.005763,0.003429,0.008418,PINN_convection_beta_1.0_lr_1.0_seed_020.pt
1.0,1.0,21,0.01589,0.009802,0.02642,PINN_convection_beta_1.0_lr_1.0_seed_021.pt
1.0,1.0,22,0.007452,0.004463,0.011946,PINN_convection_beta_1.0_lr_1.0_seed_022.pt
1.0,1.0,23,0.017589,0.010169,0.037279,PINN_convection_beta_1.0_lr_1.0_seed_023.pt
1.0,1.0,24,0.010962,0.006583,0.016319,PINN_convection_beta_1.0_lr_1.0_seed_024.pt
